Time,exchange_rate
1988,2.273468
1989,2.622678
1990,2.587321
1991,2.761315
1992,2.852014
1993,3.267742
1994,3.5507980000000003
1995,3.627085
1996,4.2993489999999985
1997,4.6079620000000014
1998,5.528283999999998
1999,6.109483999999999
2000,6.9398279999999986
2001,8.609181
2002,10.540747
2003,7.564749000000001
2004,6.459693
2005,6.359328
2006,6.771549
2007,7.0453649999999985
2008,8.261223
2009,8.473674
2010,7.321222
2011,7.261132000000001
2012,8.209969000000001
2013,9.655056
2014,10.852656
2015,12.758931
2016,14.709611
2017,13.333781
