Time,gdp
1989,6462.045029
1990,6512.332079
1991,6517.474653
1992,6384.322626
1993,6476.917933
1994,6686.259293
1995,6894.620731
1996,7177.841418999999
1997,7349.020224
1998,7328.6406
1999,7482.181843
2000,7838.632675
2001,8105.749293000001
2002,8327.474258
2003,8642.426981
2004,9173.917364
2005,9847.081746
2006,10584.287717000001
2007,11301.782307
2008,11735.261451
2009,11486.272598
2010,11815.520098
2011,12234.129622
2012,12600.21291
2013,12929.432503
2014,13203.670608
2015,13310.704404
2016,13344.817815999999
2017,13544.605350999998
